日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20241031,横河ブリッジホールディングス,5911,金属製品,0.0129%,TOPIX Small 1
20241031,駒井ハルテック,5915,金属製品,0.0001%,TOPIX Small 2
20241031,高田機工,5923,金属製品,0.0001%,TOPIX Small 2
20241031,三和ホールディングス,5929,金属製品,0.1044%,TOPIX Mid400
20241031,文化シヤッター,5930,金属製品,0.0130%,TOPIX Small 1
20241031,三協立山,5932,金属製品,0.0025%,TOPIX Small 2
20241031,アルインコ,5933,金属製品,0.0020%,TOPIX Small 2
20241031,東洋シヤッター,5936,金属製品,0.0001%,TOPIX Small 2
20241031,ＬＩＸＩＬ,5938,金属製品,0.0699%,TOPIX Mid400
20241031,日本フイルコン,5942,金属製品,0.0001%,TOPIX Small 2
20241031,ノーリツ,5943,金属製品,0.0067%,TOPIX Small 1
20241031,長府製作所,5946,金属製品,0.0059%,TOPIX Small 2
20241031,リンナイ,5947,金属製品,0.0477%,TOPIX Mid400
20241031,ユニプレス,5949,輸送用機器,0.0052%,TOPIX Small 1
20241031,ダイニチ工業,5951,金属製品,0.0001%,TOPIX Small 2
20241031,日東精工,5957,金属製品,0.0023%,TOPIX Small 2
20241031,三洋工業,5958,金属製品,0.0001%,TOPIX Small 2
20241031,岡部,5959,金属製品,0.0037%,TOPIX Small 2
20241031,ジーテクト,5970,金属製品,0.0047%,TOPIX Small 1
20241031,東プレ,5975,金属製品,0.0084%,TOPIX Small 1
20241031,高周波熱錬,5976,金属製品,0.0039%,TOPIX Small 2
20241031,東京製綱,5981,金属製品,0.0018%,TOPIX Small 2
20241031,サンコール,5985,金属製品,0.0012%,TOPIX Small 2
20241031,モリテック　スチール,5986,金属製品,0.0000%,TOPIX Small 2
20241031,パイオラックス,5988,金属製品,0.0087%,TOPIX Small 1
20241031,エイチワン,5989,金属製品,0.0026%,TOPIX Small 2
20241031,日本発條,5991,金属製品,0.0447%,TOPIX Mid400
20241031,中央発條,5992,金属製品,0.0021%,TOPIX Small 2
20241031,アドバネクス,5998,金属製品,0.0000%,TOPIX Small 2
20241031,三浦工業,6005,機械,0.0439%,TOPIX Mid400
20241031,タクマ,6013,機械,0.0141%,TOPIX Small 1
20241031,テクノプロ・ホールディングス,6028,サービス業,0.0426%,TOPIX Mid400
20241031,アトラグループ,6029,サービス業,0.0000%,TOPIX Small 2
20241031,アイ・アールジャパンホールディングス,6035,サービス業,0.0012%,TOPIX Small 2
20241031,ＫｅｅＰｅｒ技研,6036,サービス業,0.0069%,TOPIX Small 1
20241031,楽待,6037,サービス業,0.0001%,TOPIX Small 2
20241031,三機サービス,6044,サービス業,0.0000%,TOPIX Small 2
