ticker,market_cap_mil_jpy,shares_outstanding,dividend_yield_pct,dividend_per_share_yen,per,pbr,eps_yen,bps_yen,roe_pct,equity_ratio_pct,min_lot_price_yen,trading_unit_shares,ytd_high_yen,ytd_high_date,ytd_low_yen,ytd_low_date,asof_date
8179.T,131585,49861862,1.21,32.0,26.79,2.58,98.51,1024.19,12.09,39.3,263900,100,2827,2025-09-29,2236,2025-01-14,2025-10-24
8181.T,2982,2572871,1.29,15.0,6.77,0.44,171.32,2647.4,6.67,61.4,115900,100,1289,2025-10-09,765,2025-04-07,2025-10-24
8182.T,63591,52338091,,,,1.02,,1186.71,0.92,53.5,121500,100,1489,2024-04-12,1101,2024-10-25,2025-11-27
8185.T,35325,35609996,5.44,54.0,34.55,0.66,28.71,1499.08,5.69,65.8,99200,100,1420,2025-01-22,915,2025-04-07,2025-10-24
8194.T,225077,90501600,2.61,65.0,11.95,1.49,208.05,1672.28,13.04,45.2,248700,100,2588,2025-08-12,1675,2025-01-10,2025-10-24
8200.T,58001,26067972,0.58,13.0,46.83,4.14,47.51,537.71,7.3,46.7,222500,100,2391,2025-10-15,2067,2025-04-07,2025-10-24
8203.T,31174,39611134,3.43,27.0,9.04,0.7,87.08,1117.76,7.06,43.3,78700,100,915,2025-08-01,586,2025-04-07,2025-10-24
8207.T,11208,40460727,0.0,0.0,89.64,3.7,3.09,74.87,5.16,38.3,27700,100,294,2025-09-08,238,2025-04-07,2025-10-24
8214.T,149124,86649504,4.65,80.0,15.08,1.05,114.15,1641.56,6.87,60.9,172100,100,1860,2025-09-12,1112,2025-04-07,2025-10-24
8217.T,37115,41937297,2.94,26.0,45.78,0.49,19.33,1795.51,-3.12,57.7,88500,100,1013,2025-06-30,746,2025-01-20,2025-10-24
8218.T,171933,54409168,1.77,56.0,10.27,0.6,307.74,5310.76,5.69,63.7,316000,100,3445,2025-09-02,2657,2025-04-07,2025-10-24
8219.T,117569,50394016,5.83,136.0,11.92,0.65,195.72,3594.64,5.3,55.8,233300,100,2596,2025-09-10,1764,2025-04-07,2025-10-24
8227.T,715084,73826598,2.12,205.0,16.61,1.38,583.05,7039.13,8.61,88.3,968600,100,11575,2025-08-12,8240,2025-03-11,2025-10-24
8230.T,5967,18646376,4.69,15.0,15.32,0.47,20.89,675.85,7.22,63.0,32000,100,336,2025-04-14,288,2025-04-07,2025-10-24
8233.T,531098,315566316,2.02,34.0,12.73,1.04,132.22,1611.6,8.53,36.5,168300,100,1804,2025-10-07,999,2025-04-07,2025-10-24
8237.T,92191,53289640,0.69,12.0,76.48,3.25,22.62,532.94,8.79,37.1,173000,100,1767,2025-10-16,890,2025-04-07,2025-10-24
8242.T,261483,125201396,2.11,44.0,14.04,0.83,148.72,2511.63,12.29,41.0,208850,100,2350,2025-03-25,1752,2025-04-07,2025-10-24
8244.T,77156,40437940,1.05,20.0,21.42,1.75,89.07,1091.48,9.18,33.7,190800,100,2307,2025-03-24,1718,2025-07-03,2025-10-24
8252.T,551900,183660417,4.36,131.0,19.26,2.23,156.0,1349.27,10.65,23.4,300500,100,3367,2025-09-11,2462,2025-01-07,2025-10-24
8253.T,705061,185444772,3.42,130.0,8.33,0.8,456.48,4753.24,9.41,15.1,380200,100,4269,2025-08-13,2781,2025-04-07,2025-10-24
8255.T,107024,93552156,2.53,29.0,12.38,1.14,92.37,1000.16,10.44,66.0,114400,100,1216,2025-09-24,866,2025-01-14,2025-10-24
8260.T,4868,11480495,1.42,6.0,6.79,0.4,62.41,1064.73,8.73,26.8,42400,100,470,2025-07-03,370,2025-04-07,2025-10-24
8267.T,6544077,2783529021,0.58,13.67,155.39,5.4,15.13,435.24,2.74,7.6,235100,100,2380,2025-10-23,1146,2025-01-14,2025-10-24
8273.T,212523,71665200,3.03,90.0,13.83,0.73,214.43,4078.91,4.21,50.1,296550,100,3468,2025-07-08,2920,2025-10-17,2025-10-24
8275.T,35415,27732622,2.43,31.0,15.12,1.99,84.47,643.28,12.74,41.6,127700,100,1573,2025-05-07,1187,2025-04-07,2025-10-24
8276.T,149485,51546470,2.28,66.0,13.41,0.75,216.31,3853.92,5.7,61.7,290000,100,3125,2025-08-12,2241,2025-01-10,2025-10-24
8278.T,171629,86856954,1.52,30.0,31.13,0.78,63.48,2533.09,1.76,52.9,197600,100,2262,2025-04-10,1928,2025-10-14,2025-10-24
8279.T,404029,41894288,1.3,125.0,19.16,2.12,503.47,4551.65,11.56,48.1,964400,100,10290,2025-08-08,8548,2025-04-07,2025-09-26
8281.T,54379,47911023,3.08,35.0,48.3,0.39,23.5,2914.69,0.79,59.5,113500,100,1363,2025-03-28,1073,2025-07-01,2025-10-24
8282.T,274313,175000000,2.81,44.0,25.12,1.0,62.39,1566.61,3.66,59.4,156750,100,1655,2025-09-29,1231,2025-04-07,2025-10-24
8283.T,290966,62000000,2.56,120.0,13.16,0.99,356.7,4732.45,8.08,56.7,469300,100,4747,2025-09-22,3449,2025-04-07,2025-10-24
8285.T,30701,61772500,2.01,10.0,12.49,0.61,39.79,811.18,5.17,50.7,49700,100,506,2025-10-23,286,2025-04-07,2025-10-24
8289.T,9318,23354223,,,,0.4,-63.12,1002.1,-0.26,36.1,39900,100,465,2025-01-06,390,2025-10-14,2025-10-24
8291.T,33584,66635063,4.76,24.0,7.49,0.52,67.29,960.89,7.56,58.3,50400,100,557,2025-03-14,427,2025-04-07,2025-10-24
8304.T,312429,139789418,3.94,88.0,14.06,0.67,158.98,3317.34,4.92,5.8,223500,100,2517,2025-01-07,1671,2025-04-09,2025-10-24
8306.T,26959266,12067710920,3.13,70.0,,1.27,,1752.92,9.29,5.0,223400,100,2405,2025-09-26,1310,2025-04-07,2025-10-24
8308.T,3324584,2307136666,2.01,29.0,13.76,1.18,104.7,1223.5,7.77,3.5,144100,100,1600,2025-08-18,845,2025-04-07,2025-10-24
8309.T,2906189,705385780,3.88,160.0,10.43,0.93,394.86,4441.51,8.31,4.0,412000,100,4386,2025-09-26,2828,2025-04-07,2025-10-24
8316.T,15556925,3857407640,3.37,136.0,12.0,1.07,336.17,3752.89,8.02,4.8,403300,100,4270,2025-09-26,2560,2025-04-07,2025-10-24
8331.T,1191366,805521087,3.25,48.0,12.31,0.89,120.16,1662.06,6.38,5.2,147900,100,1624,2025-09-26,1000,2025-04-07,2025-10-24
8334.T,627087,395888177,3.79,60.0,11.01,1.05,143.83,1515.46,7.73,5.3,158400,100,1696,2025-09-26,957,2025-04-07,2025-10-24
8336.T,133956,33405456,3.49,140.0,9.48,0.48,423.21,8313.29,4.85,4.8,401000,100,4110,2025-09-26,2450,2025-04-07,2025-10-24
8337.T,102915,62222045,0.6,10.0,12.64,0.55,130.89,3019.08,4.23,5.2,165400,100,1801,2025-09-26,898,2025-04-07,2025-10-24
8338.T,24849,82553721,1.66,5.0,6.05,0.25,49.79,1191.77,4.34,3.1,30100,100,323,2025-08-25,182,2025-04-07,2025-10-24
8341.T,477719,76655746,3.37,210.0,10.51,0.77,593.0,8136.72,6.68,5.5,623200,100,6280,2025-09-26,3343,2025-04-07,2025-10-24
